Phylum	Class	Order	Family	Genus	Species	SRR3225701
Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	baumannii	100000
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	odontolyticus	100000
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	cereus	100000
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	vulgatus	100000
Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	beijerinckii	100000
Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Cutibacterium	acnes	100000
Deinococcus-Thermi	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	radiodurans	100000
Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	faecalis	100000
Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	coli	100000
Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	pylori	100000
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	gasseri	100000
Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	monocytogenes	100000
Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	meningitidis	100000
Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	aeruginosa	100000
Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	sphaeroides	100000
Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	aureus	100000
Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	epidermidis	100000
Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	agalactiae	100000
Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	mutans	100000
Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	pneumoniae	100000
