Phylum	Class	Order	Family	Genus	Species	SRR3225702
Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	baumannii	8000
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	odontolyticus	7000
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	cereus	5000
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	vulgatus	5000
Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	adolescentis	800
Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	beijerinckii	16000
Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Cutibacterium	acnes	7000
Deinococcus-Thermi	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	radiodurans	9000
Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	faecalis	200
Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	coli	1100
Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	pylori	10000
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	gasseri	6000
Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	monocytogenes	7000
Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	meningitidis	1100
Bacteroidetes	Bacteroidetes	Bacteroidales	Porphyromonadaceae	Porphyromonas	gingivalis	4000
Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	aeruginosa	1200
Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	sphaeroides	11000
Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	aureus	24000
Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	epidermidis	11000
Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	agalactiae	6000
Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	mutans	10000
Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	pneumoniae	8000
