Dataset	Run	Cutoff_Direct_reads	Expected_species	Predicted_species	TP	FP	FN	Precision	Recall	F1	Jaccard
dataset_01_miseq_v1v2_mock_dna	SRR3225701	1	20	84	4	80	16	0.047619047619047616	0.2	0.07692307692307693	0.04
dataset_01_miseq_v1v2_mock_dna	SRR3225701	5	20	47	4	43	16	0.0851063829787234	0.2	0.11940298507462686	0.06349206349206349
dataset_01_miseq_v1v2_mock_dna	SRR3225701	10	20	33	4	29	16	0.12121212121212122	0.2	0.15094339622641512	0.08163265306122448
dataset_01_miseq_v1v2_mock_dna	SRR3225701	50	20	17	4	13	16	0.23529411764705882	0.2	0.2162162162162162	0.12121212121212122
dataset_01_miseq_v1v2_mock_dna	SRR3225701	100	20	12	3	9	17	0.25	0.15	0.18749999999999997	0.10344827586206896
dataset_01_miseq_v1v2_mock_dna	SRR3225701	500	20	8	3	5	17	0.375	0.15	0.21428571428571425	0.12
dataset_01_miseq_v1v2_mock_dna	SRR3225701	1000	20	6	3	3	17	0.5	0.15	0.23076923076923075	0.13043478260869565
dataset_02_miseq_v1v2_mock_cells_rbb_glycerol	SRR3225702	1	22	73	5	68	17	0.0684931506849315	0.22727272727272727	0.10526315789473684	0.05555555555555555
dataset_02_miseq_v1v2_mock_cells_rbb_glycerol	SRR3225702	5	22	37	3	34	19	0.08108108108108109	0.13636363636363635	0.10169491525423728	0.05357142857142857
dataset_02_miseq_v1v2_mock_cells_rbb_glycerol	SRR3225702	10	22	26	3	23	19	0.11538461538461539	0.13636363636363635	0.12499999999999997	0.06666666666666667
dataset_02_miseq_v1v2_mock_cells_rbb_glycerol	SRR3225702	50	22	12	3	9	19	0.25	0.13636363636363635	0.1764705882352941	0.0967741935483871
dataset_02_miseq_v1v2_mock_cells_rbb_glycerol	SRR3225702	100	22	10	3	7	19	0.3	0.13636363636363635	0.18749999999999997	0.10344827586206896
dataset_02_miseq_v1v2_mock_cells_rbb_glycerol	SRR3225702	500	22	5	2	3	20	0.4	0.09090909090909091	0.14814814814814814	0.08
dataset_02_miseq_v1v2_mock_cells_rbb_glycerol	SRR3225702	1000	22	3	1	2	21	0.3333333333333333	0.045454545454545456	0.08	0.041666666666666664
